site,host,canonical_url,category,prior_status,compilation_status,selected_distinct_texts,discord_urls,fresh_responses_saved,fresh_read_failures_or_redirects,specific_prior_gap_remains,limitations,prior_evidence,scope
Serveo,serveo.net,https://serveo.net/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz""]",selected artifacts and existing public subsets; whole-site completeness not established
localhost.run,localhost.run,https://localhost.run/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
localtunnel,localtunnel.me,https://localtunnel.me/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz""]",selected artifacts and existing public subsets; whole-site completeness not established
tmpfiles.org,tmpfiles.org,https://tmpfiles.org/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
npm,npmjs.com,https://www.npmjs.com/,hosting,public_metadata_or_listing,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Bounded name/metadata/index searches do not cover all package contents or historical versions.""]","[""research-workspaces/malabo/.context/research/registries.md"", ""research-workspaces/malabo/.context/research/registry_api_reads.json"", ""research-workspaces/malabo/.context/research/registry_queries_and_gaps.json"", ""research-workspaces/brisbane/.context/research/uploads_search_queries.json""]",selected artifacts and existing public subsets; whole-site completeness not established
PyPI,pypi.org,https://pypi.org/,hosting,search_only,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""No complete content/version scan; no packages installed or executed.""]","[""research-workspaces/malabo/.context/research/registries.md"", ""research-workspaces/malabo/.context/research/registry_queries_and_gaps.json"", ""research-workspaces/brisbane/.context/research/uploads_search_queries.json""]",selected artifacts and existing public subsets; whole-site completeness not established
NuGet,nuget.org,https://www.nuget.org/,hosting,public_metadata_or_listing,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Name/metadata results alone cannot identify an agent author or affected package.""]","[""research-workspaces/malabo/.context/research/registries.md"", ""research-workspaces/malabo/.context/research/registry_api_reads.json"", ""research-workspaces/brisbane/.context/research/uploads_search_queries.json""]",selected artifacts and existing public subsets; whole-site completeness not established
GitHub/Gists,github.com,https://github.com/,hosting,public_metadata_or_listing,responses_preserved_authorship_or_body_unresolved,0,56,27,3,True,"[""Private/unlisted repositories and gists not enumerated; contemporary investigator commits are not historical swarm posts.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/coverage-and-new-leads-20260905/coverage-audit/hosts.json"", ""research-workspaces/brisbane/.context/research/uploads_search_queries.json"", ""research-workspaces/malabo/.context/research/registry_queries_and_gaps.json"", ""research-workspaces/chisinau/archive/community-repos/just-one-more-bulletin-board/data/sources.jsonl""]",selected artifacts and existing public subsets; whole-site completeness not established
Hugging Face/Spaces,huggingface.co,https://huggingface.co/,hosting,public_artifact_body,no_selected_agent_text_in_compilation,0,6,0,0,False,"[""Platform status/error string is not proof of this cohort, compromise or an autonomous author. No runtime invocation, exploitation, or package execution.""]","[""research-workspaces/malabo/.context/research/registries.md"", ""research-workspaces/malabo/.context/research/registry_api_reads.json"", ""research-workspaces/chisinau/WRITEUP.md""]",selected artifacts and existing public subsets; whole-site completeness not established
Apify,apify.com,https://apify.com/,hosting,public_metadata_or_listing,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""No Actor run, API execution, sign-in or store-wide crawl.""]","[""[local source reference]"", ""research-workspaces/chisinau/archive/digests/discord-other-channels.md""]",selected artifacts and existing public subsets; whole-site completeness not established
urlquery.net,urlquery.net,https://urlquery.net/,hosting,public_metadata_or_listing,responses_preserved_authorship_or_body_unresolved,0,8,8,6,True,"[""Same-submitter metadata is not an authenticated agent identity; no new original-host report fetched in this pass.""]","[""research-workspaces/chisinau/archive/digests/repo-imadreamerboy.md"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/coverage-and-new-leads-20260905/coverage-audit/hosts.json"", ""research-workspaces/chisinau/archive/community-repos/just-one-more-bulletin-board/data/sources.jsonl""]",selected artifacts and existing public subsets; whole-site completeness not established
urlscan.io,urlscan.io,https://urlscan.io/,hosting,public_metadata_or_listing,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""No scan submission, private result search, or arbitrary target replay.""]","[""[local source reference]""]",selected artifacts and existing public subsets; whole-site completeness not established
agentworkpad.com,agentworkpad.com,https://agentworkpad.com/,new_discord_posting_surface,not_in_previous_135_site_checklist,response_or_reference_only,0,1,1,1,True,"[""Discord author explicitly describes a human-directed investigator agent; not evidence of the original historical cohort."", ""Fresh request returned a Cloudflare tunnel error.""]",[],Discord-linked exact pages and host references only
apm.bplaced.net,apm.bplaced.net,https://apm.bplaced.net/,new_discord_posting_surface,not_in_previous_135_site_checklist,response_or_reference_only,0,1,1,0,True,"[""Discord researcher reported seeing nothing unusual in a cursory review; this is not a complete negative finding.""]",[],Discord-linked exact pages and host references only
kb5.zukunftslernorte.org,kb5.zukunftslernorte.org,https://kb5.zukunftslernorte.org/,new_discord_posting_surface,not_in_previous_135_site_checklist,response_or_reference_only,0,1,1,0,True,"[""Historical authorship and complete page/post enumeration are not established.""]",[],Discord-linked exact pages and host references only
notepad.link,notepad.link,https://notepad.link/,new_discord_posting_surface,not_in_previous_135_site_checklist,response_or_reference_only,0,2,1,1,True,"[""Page is preserved, but the visible/double-encoded note was not established as an agent message; excluded from the main texts.""]",[],Discord-linked exact pages and host references only
otterwiki.com,otterwiki.com,https://otterwiki.com/,new_discord_posting_surface,not_in_previous_135_site_checklist,response_or_reference_only,0,3,2,1,True,"[""Historical authorship and complete page/post enumeration are not established.""]",[],Discord-linked exact pages and host references only
thecolony.ai,thecolony.ai,https://thecolony.ai/,new_discord_posting_surface,not_in_previous_135_site_checklist,response_or_reference_only,0,1,1,0,True,"[""Historical authorship and complete page/post enumeration are not established.""]",[],Discord-linked exact pages and host references only
yourworldoftext.com,yourworldoftext.com,https://yourworldoftext.com/,new_discord_posting_surface,not_in_previous_135_site_checklist,response_or_reference_only,0,1,1,0,True,"[""Discord presents this as a possible surface, not an identified agent post.""]",[],Discord-linked exact pages and host references only
